pl_gest,data_bon,id_gest,anluna,pct_lcr,id,pl_pr,id_pr,pl_bon,id_bon,retail_product_id,ProductCode,UnitMeasure,SalePrice,SalePriceWithVAT,ManagementWorkplaceId,ManagementId,retail_product_name
1,2025-09-05 12:04:19.553,1,202509,1,53353,1,9,1,35214,10156,JAA,"BUC     ",1.65,2.00,1,1,Packaging
1,2025-09-05 12:04:19.553,1,202509,1,53349,1,54,1,35214,112,EBA,"BUC     ",26.04,28.90,1,1,Crazy Schnitzel
1,2025-09-05 12:04:19.553,1,202509,1,53352,1,71,1,35214,131,EBA,"BUC     ",6.22,6.90,1,2,Crazy Sauce
1,2025-09-05 12:04:19.553,1,202509,1,53351,1,93,1,35214,143,GAA,"BUC     ",8.56,9.50,1,1,Aqua Carpatica Plata 0.5L
1,2025-09-05 12:04:19.553,1,202509,1,53350,1,10109,1,35214,10165,EBA,"BUC     ",29.64,32.90,1,2,Mac & cheease
1,2025-09-05 12:10:45.877,1,202509,1,53358,1,93,1,35215,143,GAA,"BUC     ",8.56,9.50,1,1,Aqua Carpatica Plata 0.5L
1,2025-09-05 12:10:45.877,1,202509,1,53359,1,77,1,35215,137,EBA,"BUC     ",7.12,7.90,1,2,Blueberry Sauce
1,2025-09-05 12:10:45.877,1,202509,1,53356,1,68,1,35215,124,EBA,"BUC     ",26.94,29.90,1,1,Breaded Pork Schnitzel
1,2025-09-05 12:10:45.877,1,202509,1,53357,1,10109,1,35215,10165,EBA,"BUC     ",29.64,32.90,1,2,Mac & cheease
1,2025-09-05 12:12:08.340,1,202509,1,53362,1,68,1,35216,124,EBA,"BUC     ",26.94,29.90,1,1,Breaded Pork Schnitzel
1,2025-09-05 12:12:08.340,1,202509,1,53367,1,60,1,35216,113,EBA,"BUC     ",25.14,27.90,1,1,Breaded Chicken Schnitzel
1,2025-09-05 12:12:08.340,1,202509,1,53371,1,9,1,35216,10156,JAA,"BUC     ",1.65,2.00,1,1,Packaging
1,2025-09-05 12:12:08.340,1,202509,1,53365,1,77,1,35216,137,EBA,"BUC     ",7.12,7.90,1,2,Blueberry Sauce
1,2025-09-05 12:12:08.340,1,202509,1,53370,1,72,1,35216,132,EBA,"BUC     ",5.32,5.90,1,1,Cheddar Sauce
1,2025-09-05 12:12:08.340,1,202509,1,53363,1,10109,1,35216,10165,EBA,"BUC     ",29.64,32.90,1,2,Mac & cheease
1,2025-09-05 12:12:08.340,1,202509,1,53364,1,10102,1,35216,10159,GAA,"BUC     ",9.92,12.00,1,2,Pepsi Cola 0.25L Doze
1,2025-09-05 12:12:08.340,1,202509,1,53369,1,10102,1,35216,10159,GAA,"BUC     ",9.92,12.00,1,2,Pepsi Cola 0.25L Doze
1,2025-09-05 12:12:08.340,1,202509,1,53368,1,10108,1,35216,10164,EBA,"BUC     ",11.62,12.90,1,2,Baked potatoes
1,2025-09-05 12:25:51.793,1,202509,1,53373,1,9,1,35217,10156,JAA,"BUC     ",1.65,2.00,1,1,Packaging
1,2025-09-05 12:26:25.907,1,202509,1,53375,1,60,1,35218,113,EBA,"BUC     ",25.14,27.90,1,1,Breaded Chicken Schnitzel
1,2025-09-05 12:26:25.907,1,202509,1,53378,1,77,1,35218,137,EBA,"BUC     ",7.12,7.90,1,2,Blueberry Sauce
1,2025-09-05 12:26:25.907,1,202509,1,53377,1,93,1,35218,143,GAA,"BUC     ",8.56,9.50,1,1,Aqua Carpatica Plata 0.5L
1,2025-09-05 12:26:25.907,1,202509,1,53376,1,10108,1,35218,10164,EBA,"BUC     ",11.62,12.90,1,2,Baked potatoes
1,2025-09-05 12:38:56.860,1,202509,1,53384,1,73,1,35219,133,EBA,"BUC     ",4.41,4.90,1,1,Tomato Sauce
1,2025-09-05 12:38:56.860,1,202509,1,53389,1,73,1,35219,133,EBA,"BUC     ",4.41,4.90,1,1,Tomato Sauce
1,2025-09-05 12:38:56.860,1,202509,1,53390,1,85,1,35219,10174,EBA,"BUC     ",7.12,7.90,1,2,Extra parmezan
1,2025-09-05 12:38:56.860,1,202509,1,53386,1,60,1,35219,113,EBA,"BUC     ",25.14,27.90,1,1,Breaded Chicken Schnitzel
1,2025-09-05 12:38:56.860,1,202509,1,53381,1,65,1,35219,120,EBA,"BUC     ",44.05,48.90,1,1,Viennese Schnitzel
1,2025-09-05 12:38:56.860,1,202509,1,53382,1,10108,1,35219,10164,EBA,"BUC     ",11.62,12.90,1,2,Baked potatoes
1,2025-09-05 12:38:56.860,1,202509,1,53387,1,10108,1,35219,10164,EBA,"BUC     ",11.62,12.90,1,2,Baked potatoes
1,2025-09-05 12:38:56.860,1,202509,1,53383,1,10102,1,35219,10159,GAA,"BUC     ",9.92,12.00,1,2,Pepsi Cola 0.25L Doze
1,2025-09-05 12:38:56.860,1,202509,1,53388,1,10102,1,35219,10159,GAA,"BUC     ",9.92,12.00,1,2,Pepsi Cola 0.25L Doze
1,2025-09-05 12:48:06.543,1,202509,1,53392,1,60,1,35220,113,EBA,"BUC     ",25.14,27.90,1,1,Breaded Chicken Schnitzel
